CAMIS,DBA,BORO,STREET,CUISINE DESCRIPTION,INSPECTION DATE,CRITICAL FLAG,SCORE,Latitude,Longitude,year
50105330,KORI'S EAT/MALLIA'S,Bronx,BOSTON ROAD,Caribbean,2021-11-03,Critical,23.0,40.880989666233,-73.839442778397,2021
50072911,JUANITO RESTAURANT,Bronx,EAST  138 STREET,Spanish,2019-07-17,Critical,38.0,40.80776461455,-73.919748673439,2019
41542863,LUCKY RESTAURANT,Bronx,EAST  182 STREET,Chinese,2017-12-28,Critical,11.0,40.851146549063,-73.888429080313,2017
50083511,DRAGON SEA,Bronx,EAST  180 STREET,Chinese,2019-10-01,Critical,13.0,40.848031458066,-73.888618665859,2019
41396659,PAPA JOHN'S (STAND 310),Bronx,EAST  161 STREET,Pizza,2018-08-16,Not Applicable,0.0,40.829028434834,-73.928496459645,2018
50004682,I LOVE PIZZA,Bronx,3 AVENUE,Pizza,2019-01-24,Not Critical,,40.821013679003,-73.91247764104999,2019
50088630,TIA DELI JUICE,Bronx,EAST  167 STREET,"Juice, Smoothies, Fruit Salads",2019-10-08,Not Critical,7.0,40.826779122449004,-73.891678759662,2019
50017209,THE FAMOUS JIMBO'S HAMBURGER PALACE,Bronx,JEROME AVENUE,Hamburgers,2017-10-25,Critical,10.0,40.852152697147005,-73.908890446498,2017
50086044,CAFE COSINA,Bronx,JEROME AVENUE,American,2020-03-02,Critical,25.0,40.839147090692,-73.918456601657,2020
41468442,LAS PALMAS BAKERY,Bronx,JEROME AVENUE,Bakery Products/Desserts,2019-12-26,Critical,24.0,40.858220067276,-73.904001753199,2019
41397450,DALLAS BBQ,Bronx,WEST FORDHAM ROAD,Barbecue,2017-12-04,Critical,31.0,40.86175616998,-73.911968292067,2017
41531373,POPEYES,Bronx,EAST  163 STREET,Chicken,2019-10-17,Critical,11.0,40.824357281332,-73.909586258112,2019
40863575,BROADWAY PIZZA & PASTA,Bronx,WEST  231 STREET,Pizza,2021-08-11,Critical,17.0,40.878786705378,-73.90446374601301,2021
41316593,CARIDAD & LOUIE'S RESTAURANT,Bronx,EAST GUN HILL ROAD,Latin American,2019-11-13,Critical,18.0,40.866017481114994,-73.837714700991,2019
41090127,PORTOFINO RESTAURANT,Bronx,CITY ISLAND AVENUE,Italian,2020-01-15,Critical,21.0,40.853592005267004,-73.79020292531399,2020
41090127,PORTOFINO RESTAURANT,Bronx,CITY ISLAND AVENUE,Italian,2020-01-15,Critical,21.0,40.853592005267004,-73.79020292531399,2020
50073371,EL MACO RESTAURANT,Bronx,JEROME AVENUE,Latin American,2019-07-31,Critical,85.0,40.841706629154,-73.91664275178701,2019
50073371,EL MACO RESTAURANT,Bronx,JEROME AVENUE,Latin American,2019-07-31,Critical,85.0,40.841706629154,-73.91664275178701,2019
50101866,MI ROMANCE ECUATORIANO,Bronx,BROOK AVENUE,Spanish,2020-01-29,Critical,26.0,40.814568281378996,-73.915152317579,2020
41495141,EL CERITO RESTAURANT,Bronx,ELDER AVENUE,Mexican,2018-12-18,Critical,19.0,0.0,0.0,2018
50050984,KENNEDY FRIED CHICKEN,Bronx,BROADWAY,Chicken,2017-11-14,Critical,10.0,40.879609995647996,-73.904310676302,2017
50085781,TACO BELL,Bronx,JEROME AVENUE,Tex-Mex,2019-02-25,Not Critical,5.0,40.853425282915,-73.90767411973799,2019
41149243,FULTON CAFE,Bronx,FOOD CENTER DRIVE,Coffee/Tea,2019-06-19,Critical,19.0,40.805247646794,-73.876412711996,2019
41149243,FULTON CAFE,Bronx,FOOD CENTER DRIVE,Coffee/Tea,2019-06-19,Critical,19.0,40.805247646794,-73.876412711996,2019
50057675,MING WONG,Bronx,WEST BURNSIDE AVENUE,Chinese,2019-11-26,Critical,31.0,40.853813196193,-73.908808636822,2019
41451984,FAITHY'S KITCHEN,Bronx,DYRE AVENUE,Caribbean,2019-10-24,Critical,11.0,40.889439965331,-73.831277296077,2019
40394761,E & L BAKERY & COFFEE SHOP,Bronx,WHITE PLAINS ROAD,Bakery Products/Desserts,2019-04-23,Not Critical,8.0,40.893564795235,-73.857262215439,2019
50061060,TEXAS CHICKEN & BURGERS,Bronx,WESTCHESTER AVENUE,Chicken,2019-07-16,Critical,24.0,40.85266074879,-73.827701955976,2019
50066913,RESTAURANT DELICES DES SAVEURS,Bronx,MORRIS AVENUE,African,2019-06-20,Not Critical,24.0,40.819093710528,-73.92197136823201,2019
50107559,KETOLAND & SERIE 54,Bronx,WEBSTER AVENUE,Latin American,2022-02-16,Critical,0.0,40.867031449129,-73.884027503876,2022
