CAMIS,DBA,BORO,STREET,CUISINE DESCRIPTION,INSPECTION DATE,CRITICAL FLAG,SCORE,Latitude,Longitude,year
41701184,LITTLE CAESARS,Bronx,SOUTHERN BOULEVARD,Pizza,2016-09-14,Critical,22.0,40.824336499073,-73.891888705154,2016
50074193,ESTRELLA BRONX RESTAURANT,Bronx,WEBSTER AVENUE,Latin American,2021-10-12,Critical,16.0,40.851282394474,-73.89878495507901,2021
50058157,EL SAZON DE OLGA RESTAURANT,Bronx,CASTLE HILL AVENUE,Latin American,2018-12-04,Critical,9.0,40.82799227235,-73.850133206865,2018
40840124,GURRA CAFE,Bronx,ARTHUR AVENUE,Coffee/Tea,2020-02-12,Not Critical,3.0,40.854031708753,-73.88888692222599,2020
40840124,GURRA CAFE,Bronx,ARTHUR AVENUE,Coffee/Tea,2020-02-12,Not Critical,3.0,40.854031708753,-73.88888692222599,2020
41574705,WENDY'S,Bronx,EAST TREMONT AVENUE,Hamburgers,2019-09-04,Not Critical,35.0,40.842670775566,-73.845701494537,2019
50074643,BURGER KING,Bronx,JEROME AVENUE,Hamburgers,2021-08-09,Not Critical,12.0,40.839843890681,-73.91794616029101,2021
41629218,THE GARAGE,Bronx,TILLOTSON AVENUE,American,2015-12-19,Not Critical,10.0,40.882281898787,-73.827697221981,2015
50007119,FRANK AND JOE'S DELI,Bronx,EAST TREMONT AVENUE,Sandwiches,2017-09-07,Not Critical,11.0,40.82822130941,-73.823909941754,2017
50011009,JACQUELINE'S BAKERY RESTAURANT,Bronx,WESTCHESTER AVENUE,Bakery Products/Desserts,2016-12-01,Not Critical,24.0,40.828943173980996,-73.876538363534,2016
40394770,WEMBLEY ATHLETIC CLUB,Bronx,EAST  239 STREET,American,2018-06-16,Critical,18.0,40.901784816409,-73.85692615797,2018
40837042,MALECON RESTAURANT,Bronx,BROADWAY,Latin American,2019-02-27,Not Critical,,0.0,0.0,2019
41639626,LUKE'S LOUNGE,Bronx,HONE AVENUE,Coffee/Tea,2020-02-18,Not Critical,7.0,40.849223557470005,-73.854968492705,2020
40550801,CARVEL,Bronx,CASTLE HILL AVENUE,Frozen Desserts,2020-02-04,Critical,12.0,40.833486167858,-73.851414498581,2020
40919065,EDISON RESTAURANT,Bronx,MANOR AVENUE,Latin American,2022-03-18,Not Critical,22.0,40.829157174116,-73.876454854646,2022
50013618,PATSY'S PIZZERIA,Bronx,MORRIS PARK AVENUE,Pizza,2016-12-05,Critical,20.0,40.847847974242,-73.856782373351,2016
50059508,PANDA RESTAURANT,Bronx,BROADWAY,Chinese,2019-02-13,Not Critical,9.0,40.879854134295,-73.904140359604,2019
40366938,LULU'S COFFEE SHOP,Bronx,CASTLE HILL AVENUE,Coffee/Tea,2019-06-06,Not Critical,9.0,40.831707036899,-73.850999305895,2019
50034109,CHEN XIN LUNG CHINESE RESTAURANT,Bronx,DYRE AVENUE,Chinese,2019-06-15,Not Critical,13.0,40.888289929701,-73.831280226177,2019
50082989,DOUBLE DRAGON,Bronx,EAST  166 STREET,Chinese,2020-02-24,Critical,25.0,40.831591096943,-73.918841714369,2020
50078146,SERIE 69 BAR & RESTAURANT,Bronx,E 170TH ST,Latin American,2019-10-30,Critical,29.0,40.838470704505,-73.913101491799,2019
50078146,SERIE 69 BAR & RESTAURANT,Bronx,E 170TH ST,Latin American,2019-10-30,Critical,29.0,40.838470704505,-73.913101491799,2019
50035098,LINCOLN FRIED CHICKEN,Bronx,WESTCHESTER AVENUE,Chicken,2019-10-01,Critical,12.0,40.829654146463,-73.874087074478,2019
50084872,FU XING,Bronx,MORRISON AVENUE,Chinese,2019-07-29,Critical,47.0,40.831329469463,-73.875030657296,2019
41195691,F & J PINE RESTAURANT,Bronx,BRONXDALE AVENUE,Italian,2019-09-23,Critical,23.0,40.848944092381004,-73.862060891357,2019
50111822,FOUNTAIN DINER,Bronx,EAST GUN HILL ROAD,Middle Eastern,2021-11-03,Critical,46.0,40.881282266864,-73.878889053568,2021
50001015,TRA DI NOI,Bronx,EAST  187 STREET,Italian,2016-10-26,Critical,13.0,40.855122018555,-73.88674145471799,2016
50007857,DON PANCHOLO LECHONERA RESTAURANT,Bronx,JEROME AVENUE,Latin American,2019-06-03,Not Critical,12.0,40.853455472048005,-73.907670462857,2019
41548238,TOP CHOICE JAMAICAN RESTAURANT,Bronx,NEREID AVENUE,Caribbean,2020-01-07,Not Critical,21.0,40.898628457754995,-73.85479154698399,2020
50119236,KRISPY KREME,Bronx,EAST  149 STREET,,1900-01-01,Not Applicable,,40.816167871785005,-73.918112750073,1900
41688632,CAMINITO SPORTS BAR AND BILLIARD,Bronx,EAST  198 STREET,Bottled Beverages,2018-03-24,Critical,9.0,40.866177180644,-73.886115148124,2018
50011009,JACQUELINE'S BAKERY RESTAURANT,Bronx,WESTCHESTER AVENUE,Bakery Products/Desserts,2017-01-11,Critical,7.0,40.828943173980996,-73.876538363534,2017
50046782,US KENNEDY FRIED CHICKEN,Bronx,WEBSTER AVENUE,Chicken,2017-05-11,Critical,7.0,40.837222390717,-73.906789596052,2017
41451984,FAITHY'S KITCHEN,Bronx,DYRE AVENUE,Caribbean,2019-06-15,Critical,18.0,40.889439965331,-73.831277296077,2019
41195691,F & J PINE RESTAURANT,Bronx,BRONXDALE AVENUE,Italian,2018-11-24,Not Critical,47.0,40.848944092381004,-73.862060891357,2018
41678996,FLAVAS INTERNATIONAL GRILL,Bronx,GERARD AVENUE,Caribbean,2017-12-29,Not Critical,44.0,40.826997988362,-73.925224936692,2017
41678996,FLAVAS INTERNATIONAL GRILL,Bronx,GERARD AVENUE,Caribbean,2017-12-29,Not Critical,44.0,40.826997988362,-73.925224936692,2017
41678996,FLAVAS INTERNATIONAL GRILL,Bronx,GERARD AVENUE,Caribbean,2017-12-29,Not Critical,44.0,40.826997988362,-73.925224936692,2017
50012902,NEW MING LIANG KITCHEN,Bronx,EAST GUN HILL ROAD,Chinese,2017-03-29,Not Critical,19.0,40.880104972011,-73.8764900033,2017
40366938,LULU'S COFFEE SHOP,Bronx,CASTLE HILL AVENUE,Coffee/Tea,2019-02-27,Critical,58.0,40.831707036899,-73.850999305895,2019
41697115,GOLD MINE CAFE,Bronx,BROADWAY,Greek,2021-10-27,Critical,21.0,40.87899002788,-73.904720203459,2021
50065145,FAMILY COFFEE SHOP,Bronx,WEST  230 STREET,Sandwiches,2019-08-02,Not Critical,,40.877262765071,-73.90705869728501,2019
40995117,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,Bronx,WHITE PLAINS ROAD,Caribbean,2019-08-01,Not Critical,12.0,40.903702975116,-73.850146322471,2019
50033067,FIVE GUYS FAMOUS BURGERS AND FRIES,Bronx,HUTCHINSON RIVER PARKWAY,Hamburgers,2020-02-26,Critical,10.0,40.823678037301,-73.836420051252,2020
50109810,KENNEDY CHICKEN & SANDWICHES,Bronx,WEST KINGSBRIDGE ROAD,Chicken,2022-03-16,Critical,42.0,40.86809242206,-73.900259749559,2022
50004484,LOONG XIN ASIAN CUISINE,Bronx,EAST  233 STREET,Chinese,2017-08-02,Critical,18.0,40.893772302258,-73.85860006456801,2017
41642313,LA ROSA BAKERY,Bronx,EAST  170 STREET,Bakery Products/Desserts,2019-07-23,Not Critical,7.0,40.839122484278995,-73.914806460088,2019
50086294,BELLA NOTTE,Bronx,JOHNSON AVENUE,Italian,2019-02-27,Not Critical,9.0,40.885968521932995,-73.909867418301,2019
41301857,FIESTA CAFE BAR,Bronx,3 AVENUE,Latin American,2019-04-30,Critical,67.0,40.856413417701,-73.891001303829,2019
50013473,RED LOBSTER,Bronx,BARTOW AVENUE,Seafood,2020-02-20,Not Critical,34.0,40.869509050739005,-73.826620427815,2020
41399316,NEW KING DRAGON RESTAURANT,Bronx,RANDALL AVENUE,Chinese,2019-01-03,Not Applicable,0.0,40.816688942035,-73.865263925368,2019
50044882,NEW LITTLE CHOPSTICKS,Bronx,LEGGETT AVENUE,Chinese,2020-01-06,Critical,7.0,40.815335799817,-73.90023435163499,2020
41532134,ISTANBUL CAFE OF WHITE PLAINS,Bronx,WHITE PLAINS ROAD,Coffee/Tea,2017-12-20,Not Applicable,0.0,40.847577806947996,-73.867225234951,2017
50086978,CITY ISLAND SEAFOOD SHACK,Bronx,WILLIAMSBRIDGE ROAD,Seafood,2019-07-05,Not Critical,13.0,40.854798005827,-73.854880377759,2019
50041202,BILLY BEEZ,Bronx,BAYCHESTER AVENUE,American,2018-09-17,Not Critical,12.0,40.865905409786,-73.830429747919,2018
41314872,GIOVANNI'S,Bronx,EAST  167 STREET,Pizza,2019-12-24,Not Critical,25.0,40.835250599957,-73.919932220641,2019
50055392,BRAVO AFRICAN RESTAURANT 2,Bronx,WHITE PLAINS ROAD,African,2020-02-26,Critical,34.0,40.882689279405,-73.863281665997,2020
50044258,POPEYES,Bronx,Concourse Plaza,Chicken,2019-05-20,Not Critical,33.0,0.0,0.0,2019
50003874,PALACE OF JAPAN,Bronx,JOHNSON AVENUE,Japanese,2019-10-07,Critical,12.0,40.885834084508,-73.90993631631099,2019
50005702,DRAGON CONCOURSE,Bronx,EAST  167 STREET,Chinese,2019-04-30,Critical,10.0,40.835261599047996,-73.91996111792,2019
41271290,SABOR LATINO SEAFOOD RESTAURANT,Bronx,STARLING AVENUE,Seafood,2019-09-09,Not Critical,2.0,40.836271466055,-73.85307063863401,2019
50048064,JES CATERING,Bronx,EAST GUN HILL ROAD,Caribbean,2018-06-20,Not Critical,7.0,40.869463049846,-73.84434105301,2018
50046314,KENNEDY FRIED CHICKEN,Bronx,EAST  152 STREET,Chicken,2017-05-24,Not Critical,13.0,40.818759413403,-73.918821294378,2017
41306202,DUNKIN,Bronx,WEST BURNSIDE AVENUE,Donuts,2019-11-27,Not Critical,12.0,40.853793862508,-73.908656840482,2019
41036291,POPEYES,Bronx,EAST  149 STREET,Chicken,2019-03-04,Not Critical,7.0,40.812328585112,-73.90467511475,2019
40424765,FRANCO BAKERY,Bronx,EAST  138 STREET,Bakery Products/Desserts,2021-08-06,Critical,25.0,40.80712400336,-73.918210614421,2021
41617279,DUNKIN,Bronx,EAST TREMONT AVENUE,Donuts,2018-08-23,Critical,5.0,40.840866912403996,-73.839279769796,2018
50058196,O'SIDES,Bronx,OGDEN AVENUE,Spanish,2019-10-11,Not Applicable,,40.84402805047,-73.92364072869199,2019
50061060,TEXAS CHICKEN & BURGERS,Bronx,WESTCHESTER AVENUE,Chicken,2019-01-10,Not Critical,27.0,40.85266074879,-73.827701955976,2019
50016943,EL NUEVO ROBLE BILLIARDS,Bronx,EAST  170 STREET,Spanish,2016-12-19,Critical,9.0,40.838388239325,-73.912938970307,2016
50080682,EL VIEJO JOBO SEAFOOD RESTAURANT,Bronx,WEST BURNSIDE AVENUE,Spanish,2018-09-24,Critical,26.0,40.853801710678,-73.9081724421,2018
50011380,SOUTHSIDE CAFE (Produce Market),Bronx,HUNTS POINT TERMINAL MARKET,Latin American,2019-11-20,Critical,13.0,40.810354737405,-73.87815162537,2019
50093369,FIRST FAMILY PIZZERIA,Bronx,NEREID AVENUE,Pizza,2019-08-15,Critical,25.0,40.898519867399,-73.849322462085,2019
50063693,TAQUERIA HUARACHE,Bronx,EAST MOUNT EDEN AVENUE,Mexican,2018-09-14,Not Critical,11.0,40.844164223081,-73.914344575706,2018
41292582,TACOS PUEBLA RESTAURANT,Bronx,GRAND CONCOURSE,Tex-Mex,2020-01-14,Not Critical,19.0,40.855330309188,-73.901287523216,2020
50102470,AL AFIA SEN TERANGA FOOD SERVICE CORP,Bronx,JEROME AVENUE,African,2020-01-28,Not Critical,21.0,40.836689894563996,-73.921455547045,2020
50033493,BUHRE TOP TORTILLAS,Bronx,BUHRE AVENUE,Tex-Mex,2017-06-12,Critical,10.0,40.847464352536996,-73.830990197229,2017
50072314,CARVEL,Bronx,EAST  233 STREET,Frozen Desserts,2019-03-14,Critical,12.0,40.890515006838996,-73.848371363329,2019
50057780,KEANE'S BAR & RESTAURANT,Bronx,KATONAH AVENUE,Irish,2017-08-29,Critical,42.0,40.900062984423,-73.867640883899,2017
41688632,CAMINITO SPORTS BAR AND BILLIARD,Bronx,EAST  198 STREET,Bottled Beverages,2016-11-17,Critical,12.0,40.866177180644,-73.886115148124,2016
41215422,JALISCO TACO'S,Bronx,ST ANNS AVENUE,Tex-Mex,2019-05-01,Not Critical,7.0,40.806344194003,-73.917788943699,2019
40823884,MADISON'S,Bronx,RIVERDALE AVENUE,Italian,2018-01-30,Critical,7.0,40.90642856918,-73.904203177041,2018
41335337,LOBSTER BOX,Bronx,CITY ISLAND AVENUE,Seafood,2018-10-05,Not Critical,11.0,40.838691690926,-73.783289498173,2018
50019243,BUFFALO WILD WINGS,Bronx,WEST  237 STREET,Chicken,2020-02-10,Not Critical,19.0,40.884248201934,-73.900629616014,2020
50002977,FAMOUS PIZZA EXPRESS,Bronx,KAPPOCK STREET,Pizza,2018-06-26,Not Critical,13.0,40.878820964898,-73.916755153541,2018
50013463,PRETZEL MAKER,Bronx,BAYCHESTER AVENUE,Bagels/Pretzels,2018-10-15,Not Critical,10.0,40.865905409786,-73.830429747919,2018
50013463,PRETZEL MAKER,Bronx,BAYCHESTER AVENUE,Bagels/Pretzels,2018-10-15,Not Critical,10.0,40.865905409786,-73.830429747919,2018
41119200,PEPPER'S CARIBBEAN RESTAURANT AND BAR,Bronx,WHITE PLAINS ROAD,Caribbean,2017-10-24,Critical,11.0,40.901270912212,-73.85207991593501,2017
50071593,EXCELLENT TASTE,Bronx,WHITE PLAINS ROAD,Chinese,2018-08-20,Critical,12.0,40.897421162648,-73.855094423655,2018
50081117,PANCHO'S SPORT COFFEE SHOP,Bronx,CROMWELL AVENUE,Latin American,2019-05-22,Not Critical,7.0,40.83991963208,-73.92026630260101,2019
41598963,PADDY'S ON THE BAY,Bronx,PENNYFIELD AVENUE,American,2017-04-04,Not Critical,,40.809911067664,-73.803584377911,2017
40839264,AUGIES DELI & PIZZERIA,Bronx,CITY ISLAND AVENUE,Sandwiches,2018-05-14,Not Critical,6.0,40.852520128137996,-73.789421913931,2018
40839264,AUGIES DELI & PIZZERIA,Bronx,CITY ISLAND AVENUE,Sandwiches,2018-05-14,Not Critical,6.0,40.852520128137996,-73.789421913931,2018
41640824,RICURAS ECUADORIAN BAKERY,Bronx,WATSON AVENUE,Spanish,2018-02-02,Not Critical,11.0,40.826351628305,-73.876066230043,2018
50083599,COUSINS' PIZZA & PASTA,Bronx,EAST TREMONT AVENUE,Pizza,2018-12-06,Critical,35.0,40.829427986841004,-73.825044991173,2018
50073669,KENNEDY'S FRIED CHICKEN,Bronx,EAST  167 STREET,Chicken,2018-02-16,Not Critical,4.0,40.83349018369,-73.914676378377,2018
50088430,THROGGS NECK FRIED CHICKEN,Bronx,EAST TREMONT AVENUE,Chicken,2019-03-04,Critical,12.0,40.820079159039004,-73.81784005319,2019
41649416,ADAYA AFRICAN AMERICAN RESTAURANT,Bronx,WEBSTER AVENUE,African,2019-12-18,Critical,25.0,40.843562571849,-73.90327121783001,2019
50065822,SEIS VECINOS RESTAURANT,Bronx,PROSPECT AVENUE,Spanish,2019-03-23,Critical,80.0,40.815220478224,-73.903395663208,2019
50065822,SEIS VECINOS RESTAURANT,Bronx,PROSPECT AVENUE,Spanish,2019-03-23,Critical,80.0,40.815220478224,-73.903395663208,2019
50079485,CARIDAD SEAFOOD RESTAURANT,Bronx,EAST TREMONT AVENUE,Latin American,2019-06-26,Not Critical,,40.847589466336004,-73.90048579364199,2019
41554490,FLORINDA RESTAURANT,Bronx,DECATUR AVENUE,Latin American,2019-12-24,Critical,35.0,40.86485957663,-73.888781990303,2019
41468442,LAS PALMAS BAKERY,Bronx,JEROME AVENUE,Bakery Products/Desserts,2019-07-10,Critical,61.0,40.858220067276,-73.904001753199,2019
50117772,PAPA JOHN'S,Bronx,WILLIS AVENUE,Pizza,2022-01-06,Not Critical,24.0,40.814318598934996,-73.919079619607,2022
41476982,JOHNNY'S BAKERY,Bronx,PROSPECT AVENUE,Bakery Products/Desserts,2022-03-14,Critical,26.0,40.830560874453,-73.897103768416,2022
50032975,CHIPOTLE MEXICAN GRILL,Bronx,3 AVENUE,Tex-Mex,2016-05-16,Not Critical,17.0,40.860415063541005,-73.890817575569,2016
41249587,"D'ANGELO'S PIZZA, PANCHO'S MEXICAN RESTAURANT",Bronx,PUGSLEY AVENUE,Mexican,2022-02-14,Not Critical,29.0,40.830487768039,-73.857004176861,2022
50104538,AVENUE GYRO,Bronx,ARTHUR AVENUE,Mediterranean,2022-01-04,Critical,22.0,40.854429330457,-73.88851030916,2022
40694187,GARY AND GINO'S,Bronx,JEROME AVENUE,Pizza,2021-12-20,Not Critical,9.0,40.8867380812,-73.87822808213801,2021
40694187,GARY AND GINO'S,Bronx,JEROME AVENUE,Pizza,2021-12-20,Not Critical,9.0,40.8867380812,-73.87822808213801,2021
41639505,GIO'S PIZZA & RESTAURANT,Bronx,EAST  141 STREET,Pizza,2019-03-27,Not Critical,9.0,40.812230697184,-73.92435290093701,2019
41358592,ZERO OTTO NOVE TRATTORIA,Bronx,ARTHUR AVENUE,Italian,2017-10-12,Not Critical,13.0,40.854533567039,-73.888445066038,2017
50080682,EL VIEJO JOBO SEAFOOD RESTAURANT,Bronx,WEST BURNSIDE AVENUE,Spanish,2019-09-19,Not Critical,42.0,40.853801710678,-73.9081724421,2019
50000846,JULESRUBY LOUNGE RENTAL,Bronx,WESTCHESTER SQUARE,American,2016-10-15,Critical,12.0,40.840097589963996,-73.842671651104,2016
50108276,LA ESTRELLA RESTAURANT,Bronx,WEBSTER AVENUE,,1900-01-01,Not Applicable,,40.851282394474,-73.89878495507901,1900
50086335,FLAMING DELICIOUS JERK CUISINE,Bronx,BOSTON ROAD,Caribbean,2019-07-22,Not Critical,,40.878227012665,-73.844371082316,2019
41721692,KENNEDY FRIED CHICKEN,Bronx,ARCHER STREET,Chicken,2019-05-08,Critical,9.0,40.837585824222,-73.86624780309,2019
41178943,GOLDEN PALACE CHINESE RESTAURANT,Bronx,CASTLE HILL AVENUE,Chinese,2017-10-17,Critical,25.0,40.820738406237,-73.848418963398,2017
40945691,SANTA FE GRILL & BAR,Bronx,BROADWAY,Mexican,2019-05-22,Not Critical,11.0,40.891439279555,-73.897396177997,2019
50039418,JUST ONE TAVERN,Bronx,KATONAH AVENUE,Bottled Beverages,2016-10-12,Critical,15.0,40.897899708264,-73.867261780632,2016
40524837,JIMMY RYAN'S,Bronx,MIDDLETOWN ROAD,American,2018-11-10,Critical,19.0,40.843936165582,-73.830178749764,2018
40989507,AMC THEATRES,Bronx,BARTOW AVENUE,American,2017-11-01,Not Critical,45.0,40.869142918784,-73.82410126066,2017
50074432,LEGENDARY BAR & GRILL,Bronx,EAST TREMONT AVENUE,American,2019-01-08,Not Critical,13.0,40.830865521991,-73.826385450912,2019
50074488,LOTUS LOUNGE,Bronx,WHITE PLAINS ROAD,Middle Eastern,2020-02-01,Not Critical,25.0,40.845559272591,-73.86623170916701,2020
50046182,QUALITY GRILL & GYRO,Bronx,EDISON AVENUE,Greek,2018-10-24,Not Critical,,40.847449969882,-73.832414343284,2018
50045959,ROYALCOACH DINER,Bronx,BOSTON POST ROAD,American,2017-07-12,Not Critical,13.0,40.872695794905,-73.854396414117,2017
41410326,CHOI YUAN,Bronx,BEDFORD PARK BOULEVARD,Chinese,2017-04-03,Critical,13.0,40.873242409551004,-73.889227133408,2017
50003531,NEW SPRING GARDEN,Bronx,WALLACE AVENUE,Chinese,2019-08-02,Critical,22.0,40.852177988981,-73.864873661121,2019
50046182,QUALITY GRILL & GYRO,Bronx,EDISON AVENUE,Greek,2018-04-19,Critical,34.0,40.847449969882,-73.832414343284,2018
50050012,KEVIN CAR WASH AND DELICATESSEN,Bronx,THIRD AVENUE,Spanish,2019-04-26,Not Critical,28.0,40.829690565657,-73.906471357868,2019
50035098,LINCOLN FRIED CHICKEN,Bronx,WESTCHESTER AVENUE,Chicken,2017-08-29,Critical,10.0,40.829654146463,-73.874087074478,2017
41338145,TINOS DELICATESSEN,Bronx,ARTHUR AVENUE,Sandwiches,2022-01-12,Not Critical,12.0,40.855814265940005,-73.887325892195,2022
50040836,KENNEDY'S FRIED CHICKEN & BISCUITS,Bronx,3 AVENUE,Chicken,2017-07-27,Critical,10.0,40.857544338516,-73.891097049268,2017
41395226,DELICIOSO RESTAURANT,Bronx,EAST  149 STREET,Latin American,2019-06-17,Critical,24.0,40.815793780282,-73.916989643867,2019
41540512,DUNKIN,Bronx,MAJOR DEEGAN EXPRESSWAY,Donuts,2021-10-27,Critical,19.0,40.894872066432,-73.882181055993,2021
41619215,"AU BON PAIN, ANDALE MEXICAN GRILL",Bronx,UNIVERSITY AVENUE,Soups/Salads/Sandwiches,2018-11-08,Critical,13.0,40.857387539629,-73.909696629032,2018
50065078,MADE IN PUERTO RICO,Bronx,EAST TREMONT AVENUE,Latin American,2018-06-12,Not Critical,50.0,40.834440736382,-73.829256269387,2018
50060913,AL CHOLO WEST INDIAN BAKERY & HEALTH FOOD STORE,Bronx,WHITE PLAINS ROAD,Bakery Products/Desserts,2017-04-03,Critical,12.0,40.884384428242996,-73.862366807403,2017
50087243,LOS SAZONES LATINO,Bronx,WOODYCREST AVENUE,Latin American,2020-02-06,Not Critical,21.0,40.833523562859,-73.927291853088,2020
50079426,BEATSTRO,Bronx,ALEXANDER AVENUE,American,2019-02-04,Critical,27.0,40.807300203728,-73.92716166842301,2019
41160010,CHEFFY TWO RESTAURANT,Bronx,WHITE PLAINS ROAD,Caribbean,2019-03-18,Critical,56.0,40.90488253023,-73.849629949842,2019
50008156,FRESCO TORTILLAS,Bronx,WEST  235 STREET,Tex-Mex,2018-08-21,Not Critical,13.0,40.885708031067,-73.91019688107299,2018
41495141,EL CERITO RESTAURANT,Bronx,ELDER AVENUE,Mexican,2019-01-09,Not Critical,11.0,0.0,0.0,2019
41495141,EL CERITO RESTAURANT,Bronx,ELDER AVENUE,Mexican,2019-01-09,Not Critical,11.0,0.0,0.0,2019
41396666,STAND 110 B,Bronx,EAST  161 STREET,American,2019-08-14,Critical,7.0,40.829028434834,-73.928496459645,2019
50066323,NEW CHINA GARDEN,Bronx,NEREID AVENUE,Chinese,2019-04-08,Not Critical,11.0,40.898052916693004,-73.853298884321,2019
41385657,HOWL AT THE MOON BAR & GRILL,Bronx,EAST  189 STREET,American,2017-10-04,Not Critical,6.0,40.857600212645,-73.88643716989,2017
50000741,CEMITAS PUEBLA RESTAURANT,Bronx,ALLERTON AVENUE,Spanish,2016-08-11,Critical,30.0,40.865416789114,-73.86805357738001,2016
41702635,KAPPOCK CAFE,Bronx,KNOLLS CRESCENT STREET,Sandwiches,2015-07-24,Not Critical,7.0,40.878730946789,-73.91752913194199,2015
50085944,GOLDEN CHEF,Bronx,CROSBY AVENUE,Chinese,2019-07-16,Critical,17.0,40.844741219311,-73.83075136719201,2019
50015405,LA MASA RESTAURANT,Bronx,MORRIS PARK AVENUE,Latin American,2018-01-30,Not Critical,6.0,40.848132640616,-73.85615283052499,2018
50072976,POPEYES,Bronx,HUTCHINSON RIVER PARKWAY,Chicken,2019-02-28,Not Critical,10.0,40.823678037301,-73.836420051252,2019
50003077,LAURA'S PIZZA,Bronx,BAILEY AVENUE,Italian,2017-11-14,Critical,10.0,40.877544714923,-73.902823815109,2017
50033133,TEXAS CHICKEN & BURGERS,Bronx,WEST BURNSIDE AVENUE,Chicken,2018-05-03,Critical,11.0,40.853818300273,-73.908324242113,2018
50065012,MERCY CAFE,Bronx,WATERS PLACE,American,2018-12-20,Not Critical,55.0,40.842726572701004,-73.838371701397,2018
50113951,LA PATRONA,Bronx,SOUTHERN BOULEVARD,Mexican,2021-09-20,Not Critical,7.0,40.812365842624004,-73.90327699522601,2021
50066350,CAFE ROYALE,Bronx,WALTON AVENUE,American,2019-09-17,Critical,13.0,40.819056613111,-73.928218180457,2019
50042128,THE BRONX BEER HALL,Bronx,ARTHUR AVENUE,Italian,2016-07-05,Critical,47.0,40.854240101806,-73.88867329616001,2016
50065695,MR. Q'S,Bronx,WILLIAMSBRIDGE ROAD,Chinese,2019-01-15,Not Critical,35.0,40.855800673978,-73.855546946341,2019
50015891,MIRELI RESTAURANT,Bronx,WESTCHESTER AVENUE,Latin American,2016-09-02,Not Critical,13.0,40.825446673118,-73.890362087326,2016
41597770,INTERNATIONAL CATERERS,Bronx,AMPERE AVENUE,American,2019-05-01,Critical,23.0,40.846178160017,-73.819087571768,2019
41597770,INTERNATIONAL CATERERS,Bronx,AMPERE AVENUE,American,2019-05-01,Critical,23.0,40.846178160017,-73.819087571768,2019
50008064,J & LEE'S DELI,Bronx,EAST  188 STREET,Sandwiches,2016-07-05,Not Critical,23.0,40.861178453964,-73.89715382571801,2016
50075808,SHERIDAN MARKET,Bronx,EAST  161 STREET,Sandwiches,2019-07-03,Critical,13.0,40.826473930913004,-73.921395385743,2019
50070951,BRONX BITES,Bronx,EAST  184 STREET,"Juice, Smoothies, Fruit Salads",2019-06-03,Critical,22.0,40.859817104906995,-73.90031197479101,2019
50004262,HALAL HUT FRIED CHICKEN & PIZZA,Bronx,BATHGATE AVENUE,Chicken,2018-07-03,Critical,9.0,40.854265331567,-73.892103754689,2018
50044918,LUPITA'S MEXICAN FOOD,Bronx,GRAND CONCRS,Mexican,2019-11-08,Not Critical,10.0,0.0,0.0,2019
41649164,DONG KING,Bronx,WEST  165 STREET,Chinese,2017-08-28,Not Critical,7.0,40.833940657613,-73.927125163086,2017
50034130,SOO JAMAICA,Bronx,WHITE PLAINS ROAD,Caribbean,2018-06-19,Not Critical,15.0,40.891812152544,-73.858260643705,2018
50059232,CLINTON HALL,Bronx,EAST  189 STREET,American,2019-10-30,Critical,22.0,40.857322468748,-73.885906237179,2019
50073179,STAR RESTAURANT,Bronx,WESTCHESTER AVENUE,Spanish,2018-09-21,Critical,73.0,40.827375338625004,-73.886619036102,2018
50073179,STAR RESTAURANT,Bronx,WESTCHESTER AVENUE,Spanish,2018-09-21,Critical,73.0,40.827375338625004,-73.886619036102,2018
41641101,SIRENAS,Bronx,JEROME AVENUE,Tex-Mex,2022-01-12,Not Critical,12.0,40.850090021590006,-73.910628305122,2022
50070412,CROWN FRIED CHICKEN,Bronx,UNIONPORT ROAD,Chicken,2019-03-14,Critical,9.0,40.835393154411996,-73.855237270918,2019
41712453,MERRYLAND BUFFET,Bronx,ELM PLACE,Chinese,2018-04-17,Critical,13.0,40.861675023505,-73.893884857296,2018
50044817,619 BAR & RESTAURANT EL SALVADORENO,Bronx,EAST  151 STREET,Latin American,2017-08-09,Critical,19.0,40.817613913943,-73.917500390725,2017
40699339,NICK GARDEN COFFEE SHOP,Bronx,WEBSTER AVENUE,Coffee/Tea,2021-07-30,Critical,31.0,40.867590420776,-73.883086472857,2021
41391832,HARD ROCK CAFE,Bronx,161 STREET & RIVER AVENUE,American,2017-07-25,Not Critical,5.0,0.0,0.0,2017
50010592,CASSANDRA'S BAKERY,Bronx,EAST  167 STREET,Bakery Products/Desserts,2019-10-23,Not Critical,15.0,40.833924911294,-73.916114090484,2019
50007857,DON PANCHOLO LECHONERA RESTAURANT,Bronx,JEROME AVENUE,Latin American,2016-07-22,Critical,22.0,40.853455472048005,-73.907670462857,2016
50007857,DON PANCHOLO LECHONERA RESTAURANT,Bronx,JEROME AVENUE,Latin American,2016-07-22,Critical,22.0,40.853455472048005,-73.907670462857,2016
41335337,LOBSTER BOX,Bronx,CITY ISLAND AVENUE,Seafood,2018-03-28,Critical,11.0,40.838691690926,-73.783289498173,2018
50081726,KENNEDY FRIED CHICKEN & PIZZERIA,Bronx,LONGWOOD AVENUE,Chicken,2019-03-20,Critical,23.0,40.817582115183,-73.898373962117,2019
